state_code,state_name,year,population,unemployment_rate,asking_rent,employment_rate,expert_level_employment,knowledge_intensive_industry,it_science_service_employment,population_change_10_years,total_migration_balance,median_income_academic,broadband_100mbit,gdp_per_capita
08,Baden-Württemberg,2022,11167721.0,3.54,11.0,65.65,14.3,16.26,4.99,5.66,15.96,5908.81,88.86,51.59
09,Bayern,2022,13105221.0,3.13,12.0,67.9,15.19,11.8,4.73,4.68,16.98,5721.57,91.03,54.7
11,Berlin,2022,3632853.0,8.84,12.0,60.91,20.89,3.09,5.26,7.63,23.28,5177.82,98.49,49.25
12,Brandenburg,2022,2545159.0,5.58,8.0,65.74,11.05,3.61,2.29,3.9,21.81,4743.54,86.76,34.86
04,Bremen,2022,695758.0,10.18,9.0,57.77,14.84,7.61,4.36,6.26,15.1,5364.98,96.45,53.32
02,Hamburg,2022,1832675.0,6.84,13.0,64.88,19.55,3.44,6.03,5.67,21.51,5549.06,99.09,80.92
06,Hessen,2022,6236933.0,4.77,11.0,63.91,15.65,7.92,5.49,3.66,18.31,5894.6,89.98,52.24
13,Mecklenburg-Vorpommern,2022,1576049.0,7.31,7.0,65.89,11.08,2.84,2.01,-1.52,20.49,4642.55,79.58,34.77
03,Niedersachsen,2022,7982947.0,5.26,8.0,64.46,11.74,6.32,3.36,2.62,19.07,4722.05,87.57,42.6
05,Nordrhein-Westfalen,2022,17964420.0,6.84,8.0,61.83,13.33,7.39,4.37,2.34,15.77,5474.45,93.84,44.2
07,Rheinland-Pfalz,2022,4108555.0,4.56,9.0,62.32,11.01,7.48,3.8,2.96,17.16,5450.3,83.36,41.8
10,Saarland,2022,1011891.0,6.26,8.0,58.61,10.62,10.64,3.52,1.77,17.66,5211.64,87.06,38.37
14,Sachsen,2022,4049967.0,5.6,6.0,68.14,13.81,8.18,3.15,-0.01,18.41,4671.99,85.94,36.11
15,Sachsen-Anhalt,2022,2150239.0,7.08,6.0,67.39,10.85,5.62,3.19,-4.83,18.77,4673.17,83.55,34.65
01,Schleswig-Holstein,2022,2939283.0,5.17,9.0,62.2,11.13,5.72,3.09,4.73,16.61,5186.79,92.83,38.68
16,Thüringen,2022,2118830.0,5.3,7.0,67.29,10.89,8.61,2.53,-2.38,17.5,4550.6,85.14,33.54
