state_code,state_name,year,population,unemployment_rate,asking_rent,employment_rate,expert_level_employment,knowledge_intensive_industry,it_science_service_employment,population_change_10_years,total_migration_balance,median_income_academic,broadband_100mbit,gdp_per_capita,gdp_per_capita_eur,estimated_rent_50sqm,rent_burden_50sqm_pct,income_after_rent_50sqm,income_to_rent_index,unemployment_rate_score,employment_rate_score,expert_level_employment_score,knowledge_intensive_industry_score,it_science_service_employment_score,asking_rent_score,rent_burden_50sqm_pct_score,income_to_rent_index_score,median_income_academic_score,gdp_per_capita_eur_score,broadband_100mbit_score,population_change_10_years_score,total_migration_balance_score,career_strength_score,affordability_score,income_economic_score,digital_readiness_score,regional_momentum_score,opportunity_score,overall_rank,career_strength_contribution,affordability_contribution,income_economic_contribution,digital_readiness_contribution,regional_momentum_contribution,recalculated_opportunity_score,score_difference
08,Baden-Württemberg,2022,11167721.0,3.54,11.0,65.65,14.3,16.26,4.99,5.66,15.96,5908.81,88.86,51.59,51590.0,550.0,9.308134802100591,5358.81,537.1645454545455,93.75,62.5,68.75,100.0,81.25,28.125,31.25,31.25,100.0,75.0,56.25,81.25,18.75,80.9375,30.625,91.25,56.25,50.0,64.859375,1,28.328124999999996,7.65625,18.25,5.625,5.0,64.859375,0.0
09,Bayern,2022,13105221.0,3.13,12.0,67.9,15.19,11.8,4.73,4.68,16.98,5721.57,91.03,54.7,54700.0,600.0,10.486632165646842,5121.57,476.79749999999996,100.0,93.75,81.25,93.75,75.0,15.625,18.75,18.75,87.5,93.75,68.75,68.75,31.25,87.1875,18.125,89.6875,68.75,50.0,64.859375,1,30.515624999999996,4.53125,17.9375,6.875,5.0,64.859375,0.0
11,Berlin,2022,3632853.0,8.84,12.0,60.91,20.89,3.09,5.26,7.63,23.28,5177.82,98.49,49.25,49250.0,600.0,11.587888339107966,4577.82,431.48499999999996,12.5,18.75,100.0,12.5,87.5,15.625,12.5,12.5,43.75,68.75,93.75,100.0,100.0,53.4375,13.125,52.5,93.75,100.0,51.859375,9,18.703125,3.28125,10.5,9.375,10.0,51.859375,0.0
12,Brandenburg,2022,2545159.0,5.58,8.0,65.74,11.05,3.61,2.29,3.9,21.81,4743.54,86.76,34.86,34860.0,400.0,8.432520859948479,4343.54,592.9425,56.25,68.75,31.25,25.0,12.5,65.625,50.0,50.0,37.5,25.0,37.5,62.5,93.75,36.875,53.125,33.125,37.5,78.125,44.375,14,12.90625,13.28125,6.625,3.75,7.8125,44.375,0.0
04,Bremen,2022,695758.0,10.18,9.0,57.77,14.84,7.61,4.36,6.26,15.1,5364.98,96.45,53.32,53320.0,450.0,8.387729311199669,4914.98,596.1088888888888,6.25,6.25,75.0,62.5,62.5,43.75,56.25,56.25,62.5,87.5,87.5,93.75,6.25,42.5,53.75,71.25,87.5,50.0,56.3125,6,14.874999999999998,13.4375,14.25,8.75,5.0,56.3125,0.0
02,Hamburg,2022,1832675.0,6.84,13.0,64.88,19.55,3.44,6.03,5.67,21.51,5549.06,99.09,80.92,80920.0,650.0,11.713695652957437,4899.06,426.8507692307693,34.375,56.25,93.75,18.75,100.0,6.25,6.25,6.25,81.25,100.0,100.0,87.5,87.5,67.65625,6.25,87.8125,100.0,87.5,61.5546875,5,23.6796875,1.5625,17.5625,10.0,8.75,61.5546875,0.0
06,Hessen,2022,6236933.0,4.77,11.0,63.91,15.65,7.92,5.49,3.66,18.31,5894.6,89.98,52.24,52240.0,550.0,9.330573745461948,5344.6,535.8727272727273,81.25,43.75,87.5,68.75,93.75,28.125,25.0,25.0,93.75,81.25,62.5,56.25,56.25,79.375,25.625,89.375,62.5,56.25,63.9375,3,27.78125,6.40625,17.875,6.25,5.625,63.9375,0.0
13,Mecklenburg-Vorpommern,2022,1576049.0,7.31,7.0,65.89,11.08,2.84,2.01,-1.52,20.49,4642.55,79.58,34.77,34770.0,350.0,7.538960269679379,4292.55,663.2214285714286,18.75,75.0,37.5,6.25,6.25,84.375,81.25,81.25,12.5,18.75,6.25,18.75,81.25,25.9375,81.875,14.6875,6.25,50.0,38.109375,16,9.078125,20.46875,2.9375,0.625,5.0,38.109375,0.0
03,Niedersachsen,2022,7982947.0,5.26,8.0,64.46,11.74,6.32,3.36,2.62,19.07,4722.05,87.57,42.6,42600.0,400.0,8.47089717389693,4322.05,590.25625,68.75,50.0,50.0,43.75,43.75,65.625,43.75,43.75,31.25,56.25,50.0,43.75,75.0,52.1875,48.125,40.0,50.0,59.375,49.234375,11,18.265625,12.03125,8.0,5.0,5.9375,49.234375,0.0
05,Nordrhein-Westfalen,2022,17964420.0,6.84,8.0,61.83,13.33,7.39,4.37,2.34,15.77,5474.45,93.84,44.2,44200.0,400.0,7.306670076446036,5074.45,684.30625,34.375,25.0,56.25,50.0,68.75,65.625,87.5,87.5,75.0,62.5,81.25,37.5,12.5,49.21875,83.125,70.625,81.25,25.0,62.7578125,4,17.2265625,20.78125,14.125,8.125,2.5,62.7578125,0.0
