Kurzname,Name,M_ID,Kürzel,Gemeinden,Kreise
Erwerbstätige,Zahl der Erwerbstätigen in 1000 Personen,7,et1000,,2000-2022
Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Zahl der sozialversicherungspflichtig Beschäftigten am Arbeitsort insgesamt,8,sva,1997-2023,1997-2023
Sozialversicherungspflichtig Beschäftigte am Wohnort,Zahl der sozialversicherungspflichtig Beschäftigten am Wohnort insgesamt,9,svw,1997-2023,1997-2023
Bruttoinlandsprodukt in 1000 Euro,Bruttoinlandsprodukt (BIP) absolut in Millionen Euro,11,bip,,2000-2022
Arbeitslosenquote,Anteil der Arbeitslosen an den zivilen Erwerbspersonen in %,1101,q_alo,,1998-2023
Arbeitslosenquote Frauen,Anteil der arbeitslosen Frauen an den weiblichen zivilen Erwerbspersonen in %,1102,q_alo_f,,2008-2023
Arbeitslosenquote Männer,Anteil der arbeitslosen Männer an den männlichen zivilen Erwerbspersonen in %,1103,q_alo_m,,2008-2023
Arbeitslose ohne Ausbildung,Anteil der Arbeitslosen ohne Berufsausbildung an den Arbeitslosen in %,1207,a_alo_oAusb,,2009-2023
Arbeitslosenquote Ältere,Anteil der Arbeitslosen 55 Jahre und älter an den zivilen Erwerbspersonen 55 Jahre und älter in %,1301,q_alo_ü55,,2008-2023
Arbeitslosenquote Jüngere,Anteil der Arbeitslosen unter 25 Jahren an den zivilen Erwerbspersonen unter 25 Jahre in %,1302,q_alo_u25,,2008-2023
Anteil ältere Arbeitslose,Anteil der Arbeitslosen 55 Jahre und älter an den Arbeitslosen in %,1303,a_alo_ü55,1998-2023,1998-2023
Anteil weibliche ältere Arbeitslose,Anteil der weiblichen Arbeitslosen 55 Jahre und älter an den weiblichen Arbeitslosen in %,1304,a_alo_ü55_f,1998-2023,1998-2023
Anteil männliche ältere Arbeitslose,Anteil der männlichen Arbeitslosen 55 Jahre und älter an den männlichen Arbeitslosen in %,1305,a_alo_ü55_m,1998-2023,1998-2023
Anteil jüngere Arbeitslose,Anteil der Arbeitslosen unter 25 Jahren an den Arbeitslosen in %,1306,a_alo_u25,1998-2023,1995-2023
Anteil weibliche jüngere Arbeitslose,Anteil der weiblichen Arbeitslosen unter 25 Jahren an den weiblichen Arbeitslosen in %,1307,a_alo_u25_f,1998-2023,1998-2023
Anteil männliche jüngere Arbeitslose,Anteil der männlichen Arbeitslosen unter 25 Jahren an den männlichen Arbeitslosen in %,1308,a_alo_u25_m,1998-2023,1998-2023
Angebotsmietpreise,Wiedervermietungsmieten inserierter Wohnungen (Angebotsmieten),2113,m_mietpr,,2010-2024
Mehrfamilienhäuser,Anteil der Wohngebäude mit 3 und mehr Wohnungen an den Wohngebäuden in %,2202,a_wg_wo3um,2011-2023,2011-2023
Beschäftigtenquote,SV Beschäftigte am Wohnort je 100 Einwohner im erwerbsfähigen Alter in %,3101,q_svw,2001-2023,1997-2023
Beschäftigtenquote Frauen,SV beschäftigte Frauen am Wohnort je 100 Frauen im erwerbsfähigen Alter in %,3102,q_svw_f,2001-2023,1997-2023
Beschäftigtenquote Männer,SV beschäftigte Männer am Wohnort je 100 Männer im erwerbsfähigen Alter in %,3103,q_svw_m,2001-2023,1997-2023
Beschäftigtenquote Ausländer,SV beschäftigte Ausländer am Wohnort je 100 erwerbsfähige Ausländer in %,3104,q_svw_ausl,,2011-2023
Quote jüngere Beschäftigte,SV Beschäftigte am Wohnort im Alter von 15 bis unter 30 Jahre je 100 Einwohner dieser Altersgruppe in %,3106,q_svw_15u30,,2010-2023
Quote ältere Beschäftigte,SV Beschäftigte am Wohnort im Alter von 55 bis unter 65 Jahren je 100 Einwohner dieser Altersgruppe in %,3107,q_svw_ü55,,2005-2023
Teilzeitbeschäftigte,Anteil der SV Beschäftigten am Arbeitsort (Teilzeit) an den SV Beschäftigten in %,3108,a_sva_tz,,2012-2023
Teilzeitbeschäftige Frauen,Anteil der SV beschäftigten Frauen am Arbeitsort (Teilzeit) an allen SV beschäftigten Frauen in %,3109,a_sva_tz_f,,2012-2023
Erwerbsquote,Erwerbspersonen je 100 Einwohner im erwerbsfähigen Alter in %,3110,q_ewp,,1998-2023
Erwerbsquote Frauen,Weibliche Erwerbspersonen je 100 Frauen im erwerbsfähigen Alter in %,3111,q_ewp_f,,2008-2023
Erwerbsquote Männer,Männliche Erwerbspersonen je 100 Männer im erwerbsfähigen Alter in %,3112,q_ewp_m,,2008-2023
Selbstständigenquote,Selbstständige je 100 Erwerbstätige in %,3113,q_selbst,,2000-2022
Beschäftigte am AO mit akademischem Berufsabschluss,Anteil der SV Beschäftigten am Arbeitsort mit akademischem Berufsabschluss an den SV Beschäftigten in %,3201,a_sva_akadem,,2012-2023
Beschäftigte am AO mit Berufsabschluss,Anteil der SV Beschäftigten am Arbeitsort mit Berufsabschluss an den SV Beschäftigten in %,3202,a_sva_mAbschluss,,2012-2023
Beschäftigte am AO ohne Berufsabschluss,Anteil der SV Beschäftigten am Arbeitsort ohne Berufsabschluss an den SV Beschäftigten in %,3203,a_sva_oAbschluss,,2012-2023
Beschäftigte am WO mit akademischen Abschluss,Anteil der SV Beschäftigten am Wohnort mit akademischem Berufsabschluss an den SV Beschäftigten in %,3204,a_svw_akadem,,2012-2023
Beschäftigte am WO mit Berufsabschluss,Anteil der SV Beschäftigten am Wohnort mit Berufsabschluss an den SV Beschäftigten in %,3205,a_svw_mAbschluss,,2012-2023
Beschäftigte am WO ohne Berufsabschluss,Anteil der SV Beschäftigten am Wohnortohne Berufsabschluss an den SV Beschäftigten in %,3206,a_svw_oAbschluss,,2012-2023
Beschäftigte mit Anforderungsniveau Experte,Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Experte an den SV Beschäftigten in %,3207,a_sva_exp,,2013-2023
Beschäftigte mit Anforderungsniveau Spezialist,Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Spezialist an den SV Beschäftigten in %,3208,a_sva_spez,,2013-2023
Beschäftigte mit Anforderungsniveau Fachkraft,Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Fachkraft an den SV Beschäftigten in %,3209,a_sva_fach,,2013-2023
Beschäftigte mit Anforderungsniveau Helfer,Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Helfer an den SV Beschäftigten in %,3210,a_sva_helf,,2013-2023
Anteil Minijobs an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort an den privatrechtlichen Beschäftigungsverhältnissen in %,3301,a_Minijobs,,2003-2023
Anteil Minijobs (ausschließlich) an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den privatrechtlichen Beschäftigungsverhältnissen in %,3302,a_gb_knj_prBv,,2003-2023
Anteil Minijobs (Nebenverdienst) an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort im Nebenjob an den privatrechtlichen Beschäftigungsverhältnissen in %,3303,a_gb_nj_prBv,,2003-2023
Anteil Minijobs (ausschließlich) an geringfügig Beschäftigten,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den geringfügig entlohnten Beschäftigten in %,3304,a_gb_knj,,2003-2023
Anteil Minijobs (Nebenverdienst),Anteil der geringfügig entlohnten Beschäftigten im Nebenjob an den geringfügig entlohnten Beschäftigten in %,3305,a_gb_nj,,2003-2023
Anteil Minijobs (Frauen),Anteil der geringfügig entlohnten weiblichen Beschäftigten an den geringfügig entlohnten Beschäftigten am Arbeitsort in %,3306,a_gb_Frauen,,2003-2023
Anteil Minijobs (Männer),Anteil der geringfügig entlohnten männlichen Beschäftigten an den geringfügig entlohnten Beschäftigten in %,3307,a_gb_Männer,,2003-2023
Aufstocker,Anteil erwerbstätiger ALGII-Bezieher an den Leistungsberechtigten in %,3308,a_Aufstockern,,2007-2020
Kurzarbeiter,Anteil Kurzarbeiter an den SV Beschäftigten am Arbeitsort in %,3309,a_KuA,,2007-2023
Geringfügig Beschäftigte 65 Jahre und älter,Anteil der geringfügig entlohnten Beschäftigten 65 Jahre und älter an den geringfügig entlohnten Beschäftigten in %,3310,a_gb_ü65,,2007-2023
Geringfügig Beschäftigte 65 Jahre und älter männlich,Anteil der geringfügig entlohnten männlichen Beschäftigten am Arbeitsort 65 Jahre und älter an den männlichen geringfügig entlohnten Beschäftigten in %,3311,a_gb_ü65_Männer,,2007-2023
Geringfügig Beschäftigte 65 Jahre und älter weiblich,Anteil der geringfügig entlohnten weiblichen Beschäftigten 65 Jahre und älter an den weiblichen geringfügig entlohnten Beschäftigten in %,3312,a_gb_ü65_Frauen,,2007-2023
Unterbeschäftigungsquote,Unterbeschäftigte je 100 Erwerbspersonen in %,3313,q_ub,,2011-2023
Beschäftigte Pimärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Primären Sektor an den SV Beschäftigten in %,3401,a_svb_primär,,2008-2023
Beschäftigte Sekundärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Sekundären Sektor an den SV Beschäftigten in %,3402,a_svb_sekundär,,2008-2023
Beschäftigte Tertiärer Sektor,Anteil der SV Beschäftigten am Arbeitsort im Tertiären Sektor an den SV Beschäftigten in %,3403,a_svb_tertiär,,2008-2023
Industriequote,SV Beschäftigte am Arbeitsort in der Industrie je 100 Einwohner im erwerbsfähigen Alter in %,3404,q_industrie,,2008-2023
