project_metric,Kurzname,Name,Algorithmus,M_ID,Kürzel,Anmerkungen,Statistische Grundlagen,Gemeinden,Kreise
asking_rent,Angebotsmietpreise,Wiedervermietungsmieten inserierter Wohnungen (Angebotsmieten),duchschnittliche Angebotsmiete je m²,2113.0,m_mietpr,"Die ausgewerteten Angebotsmieten basieren auf Inseraten aus Immobilienplattformen und von Zeitungen für Wiedervermietungen von Wohnungen im Gebäudebestand (ohne Neubau). Sie spiegeln das Angebot wider, auf das Wohnungssuchende treffen, wenn sie im Internet nach einer Mietwohnung suchen. Zur Standardaufbereitung bis auf die Ebene der Kreise erfolgte eine Eingrenzung der betrachteten Wohnungen auf Wohnflächen von 40 bis 100 m² mit mittlerer Wohnungsausstattung in mittlerer bis guter Wohnlage. Die verwendeten Daten umfassen nettokalte Angebotsmieten, also ohne kalte und warme Nebenkosten. Als Quelle werden die Datenbanken der IDN ImmoDaten GmbH mit Inseraten aus über 120 Immobilienportalen und Zeitungen verwendet, die das BBSR aufbereitet und daraus durchschnittliche Angebotsmieten berechnet. Mit dieser Quelle werden nicht alle Wohnungsangebote erfasst. Inserate aus lokalen Zeitungen, Mieter- oder Unternehmenspublikationen oder von Aushängen können nicht mit einfließen. Wohnungsvermittlungen über Kunden- und Wartelisten von Wohnungsunternehmen oder Maklern können ebenfalls nicht berücksichtigt werden. Daher können gerade Wohnungen im günstigen Mietsegment mit dieser Datenquelle unterrepräsentiert sein. Mieten aus bestehenden Mietverhältnissen lassen sich mit dieser Datengrundlage ebenfalls nicht darstellen.","Laufende Raumbeobachtung des BBSR; BBSR-Wohnungsmarktbeobachtung, IDN ImmoDaten GmbH",,2010-2024
broadband_100mbit,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Anzahl der Haushalte mit einem Breitbandanschluss von mindestens 100 Mbit/s <Zeitpunkt> / Anzahl der Haushalte <Zeitpunkt> x 100,13117.0,a_bb_100Mbits,"Als häufige Grundvoraussetzung für unternehmerisches Handeln wird die Breitbandversorgung verstärkt zum zentralen Standortfaktor. Auch private Haushalte profitieren von der Versorgung mit dem Breitbandinternet, z. B. durch die Ermöglichung der Arbeit im „Home-Office“. Dies kann die Vereinbarkeit von Beruf und Familie erleichtern. Die Breitbandversorgung ist zu einem Bestandteil der Daseinsvorsorge geworden und wird von staatlicher Seite mit zum Teil erheblichen Mitteln gefördert. Die Daten beinhalten lediglich Informationen zur Breitbandversorgung von privaten Haushalten, wobei diese Informationen auch Rückschlüsse zur Breitbandversorgung von Unternehmen zulassen. Im Auftrag des BMVI wird der Breitbandatlas von unterschiedlichen Unternehmen erstellt. Die Daten bis 2017 stammen vom TÜV Rheinland, 2020 von atene KOM und 2021 von der Mobilfunkinfrastrukturgesellschaft mbH (mig). Seit 2022 werden die Daten im Gigabit-Grundbuch veröffentlicht. Aufgrund der Änderung des Erhebungsbeauftragten gibt es Diskrepanzen in der Merkmalsverfügbarkeit. Außerdem gibt es aufgrund methodisch unterschiedlicher Erhebungsinstrumente Brüche in der Zeitreihe. 

Stichtage unterscheiden sich in den jeweiligen Jahresveröffentlichungen:
Ende 2017, 2020, 2023
Mitte 2021, 2022",Laufende Raumbeobachtung des BBSR; Gigabit-Grundbuch des Bundesministeriums für Verkehr und digitale Infrastruktur sowie der Bundesnetzagentur,2017-2023,2017-2023
employment_rate,Beschäftigtenquote,SV Beschäftigte am Wohnort je 100 Einwohner im erwerbsfähigen Alter in %,SV Beschäftigte WO <Zeitpunkt> / E 15 bis < 65 Jahre <Zeitpunkt> x 100,3101.0,q_svw,"Der Indikator bildet das Ausmaß der Beschäftigung bezogen auf alle Erwerbsfähigen ab. Konkret beschreibt er die Zahl sozialversicherungspflichtig Beschäftigter am Wohnort je 100 Einwohner im erwerbsfähigen Alter (15 bis unter 65 Jahre). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Bei den Bevölkerungszahlen handelt es sich um die Fortschreibung des Bevölkerungsstandes des Bundes und der Länder zum Stichtag 31.12. des Jahres. Die Fortschreibung basiert auf der Volkszählung 1987 (BRD) bzw. 1981 (DDR), dem Zensus 2011 sowie dem Zensus 2022. Bei den Beschäftigten handelt es sich um Zahlen zum Stichtag 30.06.. Ab 2013 handelt es sich um revidierte Daten (Revision 2014). Die Anzahl der sozialversicherungspflichtig Beschäftigten erhöhte sich dabei bundesweit um rund 350.000 Personen, das sind rund 1,2%.",Laufende Raumbeobachtung des BBSR; Beschäftigtenstatistik der Bundesagentur für Arbeit,2001-2023,1997-2023
expert_level_employment,Beschäftigte mit Anforderungsniveau Experte,Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Experte an den SV Beschäftigten in %,SV Beschäftigte AO Anforderungsniveau Experte <Zeitpunkt> / SV Beschäftigte <Zeitpunkt> x 100,3207.0,a_sva_exp,"Anteil der SV Beschäftigten am Arbeitsort mit Anforderungsniveau Experte nach Klassifikation der Berufe 2010 (KldB 2010). Zum Anforderungsniveau Experte zählen hoch komplexe Tätigkeiten mit einem sehr hohen Kenntnis- und Fertigkeitsniveau sowie Leitungs- und Führungsaufgaben und mindestens einer vierjährigen Hochschulausbildung bzw. einer entsprechenden Berufserfahrung. Die Summe der Anteile ergibt weniger als 100 Prozent, weil die Kategorie ""keine Angabe"" nicht in die Berechnung einbezogen ist. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Bei den Beschäftigten handelt es sich um Zahlen zum Stichtag 30.06..",Laufende Raumbeobachtung des BBSR; Beschäftigtenstatistik der Bundesagentur für Arbeit,,2013-2023
gdp_per_capita,Bruttoinlandsprodukt je Einwohner,Bruttoinlandsprodukt in 1.000 € je Einwohner,Bruttoinlandsprodukt <Zeitpunkt> / E <Zeitpunkt> / 1.000,14205.0,q_bip_ew,"Bei Bezug auf die Bevölkerung als Wohlstandsmaß zu interpretieren. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Dieses Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.). Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt. Bei den Bevölkerungszahlen handelt es sich um die Fortschreibung des Bevölkerungsstandes des Bundes und der Länder zum Stichtag 31.12. des Jahres. Die Fortschreibung basiert auf der Volkszählung 1987 (BRD) bzw. 1981 (DDR), dem Zensus 2011 sowie dem Zensus 2022.
",Laufende Raumbeobachtung des BBSR; Volkswirtschaftliche Gesamtrechnung der Länder,,1992-2022
it_science_service_employment,Beschäftigte in IT- und naturwissenschaftlichen Dienstleistungsberufen,Anteil der sozialversicherungspfichtig Beschäftigten in IT- und naturwissenschaftlichen Dienstleistungsberufen an den SV Beschäftigten in %,SV Beschäftigte AO in IT- und naturwissenschaftlichen Dienstleistungsberufen <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> * 100,3409.0,a_svb_IT,"Der Anteil der in IT- und naturwissenschaftlichen Dienstleistungsberufen tätigen sozialversicherungspflichtig Beschäftigten. Er ist ein Hinweis auf technologische Leistungsfähigkeit und hat einen hohen Akademikeranteil unter den Beschäftigten. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Laufende Raumbeobachtung des BBSR; Beschäftigtenstatistik der Bundesagentur für Arbeit,,2013-2023
knowledge_intensive_industry,Beschäftigte in wissensintensiven Industrien,Anteil der SV Beschäftigten am Arbeitsort in wissens- u. forschungsintensiven Industrien an den SV Beschäftigten in %,"SV Beschäftigte AO in den WZ 20, 21, 26-30 <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100 ",3408.0,a_svb_wissen,"Der Anteil der in wissens- bzw. forschungsintensiven Industrien tätigen sozialversicherungspflichtig Beschäftigten. Er ist ein Hinweis auf technologische Leistungsfähigkeit und hat einen hohen Akademikeranteil unter den Beschäftigten. Wissens- bzw. forschungsintensive Industrien (nach WZ 2008, NIW/ISI/ZEW-Liste 2010) sind folgende Abteilungen: 20 (Herst. v. chem. Erzeugnissen), 21 (Herst. v. pharmazeut. Erzeugnissen), 26 (Herst. v. Datenverarbeitungsgeräten, elektron. u. optischen Erzeugnissen), 27 (Herst. v. elektrischen Ausrüstungen), 28 (Maschinenbau), 29 (Herst. v. Kraftwagen u. Teilen), 30 (sonst. Fahrzeugbau). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Laufende Raumbeobachtung des BBSR; Beschäftigtenstatistik der Bundesagentur für Arbeit,,2009-2023
median_income_academic,Medianeinkommen akademischer Berufsabschluss,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten mit akademischem Berufsabschluss in Euro,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten mit akademischem Berufsabschluss in €,6009.0,m_ek_akad,"Median der monatlichen Bruttoarbeitsentgelte von sozialversicherungspflichtig Vollzeitbeschäftigten (der Kerngruppe) am Arbeitsort. Der Median (auch Zentralwert) gibt den mittleren Wert einer der Göße nach sortierten Verteilung von Messwerten an und teilt damit den Datensatz in zwei gleich große Hälften. Somit ist er im Vergleich zum arithmetischen Mittel robuster gegenüber Ausreißern. Vergleiche zu den Vorjahren sind nicht oder nur eingeschränkt  möglich wegen eines 2011 eingeführten neuen Verfahrens, mit dem die Arbeitgeber ihre Meldungen über Voll- und Teilzeitbeschäftigung an die BA weitergeben. Die Informationen über die Inhalte des neuen Erhebungsverfahrens lagen nicht gleichzeitig zu einem bestimmten Stichtag vor, stattdessen gab es eine zweijährige Übergangsphase.
Die Berechnung der Werte für die Raumeinheiten (nicht Kreiswerte) sind mit Hilfe der Kreiswerte geschätzt. 
",Laufende Raumbeobachtung des BBSR; Statistik der Bundesagentur für Arbeit,,2014-2023
population,Bevölkerung gesamt,Zahl der Einwohner insgesamt,,2.0,xbev,"Es handelt sich um die Zahl der Einwohner zum Stichtag 31.12. des jeweiligen Jahres. Als Bevölkerung (Einwohnerinnen und Einwohner) wird die Anzahl der Personen bezeichnet, die in einer Regionaleinheit (Gemeinde, Kreis usw.) ihren ständigen Wohnsitz (Hauptwohnsitz) haben, einschließlich der dort für längere Zeit als wohnhaft gemeldeten Ausländer. Das BBSR verwendet die Bevölkerung zum Stichtag 31. Dezember für alle einwohnerbezogenen Indikatoren, so auch bei Fließgrößen über das Jahr (wie Geburten, Sterbefälle, Wanderungen, Finanzströmen und – anders als die Statistischen Ämter des Bundes und der Länder - auch bei den Größen der Volkswirtschaftlichen Gesamtrechnung. Bei den Bevölkerungszahlen handelt es sich um die Fortschreibung des Bevölkerungsstandes des Bundes und der Länder zum Stichtag 31.12. des Jahres. Die Fortschreibung basiert auf der Volkszählung 1987 (BRD) bzw. 1981 (DDR), dem Zensus 2011 sowie dem Zensus 2022.",Laufende Raumbeobachtung des BBSR; Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,1995-2023,1995-2023
population_change_10_years,Bevölkerungsentwicklung (10 Jahre),Entwicklung der Zahl der Einwohner über die letzten 10 Jahre in %,(E <aktueller Zeitpunkt> - E <Ausgangszeitpunkt>) / E <Ausgangszeitpunkt> x 100,4217.0,e10_bev,"Berechnet ist die Veränderung der Bevölkerung über die jeweils letzten 10 Jahre. Bei den Bevölkerungszahlen handelt es sich um die Fortschreibung des Bevölkerungsstandes des Bundes und der Länder zum Stichtag 31.12. des Jahres. Die Fortschreibung basiert auf der Volkszählung 1987 (BRD) bzw. 1981 (DDR), dem Zensus 2011 sowie dem Zensus 2022.",Laufende Raumbeobachtung des BBSR; Fortschreibung des Bevölkerungsstandes des Bundes und der Länder,,2005-2023
